trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-107.93136750297317,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-117.42721592121761,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-117.14504254777522,"{0: 23, 1: 2, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-165.07405452903964,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-92.11669382996206,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-161.23670166310586,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-100.39966144606113,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-176.69727064571413,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-54.405164466355245,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,4,-79.12574671497818,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-145.7660045906821,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-173.10617140663166,"{0: 8, 1: 6, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-147.52856381953495,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-161.2477271931777,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-139.56825871554705,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-187.21327015795202,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-115.76053710179116,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-133.13596469158023,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-164.942438200131,"{0: 20, 1: 0, 2: 5, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-101.18562960304665,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,0,-102.97470793256196,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",30,0,-36.49777551383053,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,0,-96.47169504875717,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,3,-69.83224355278409,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,-92.16924032584521,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",30,0,-114.33706421661576,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-85.38043345739737,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-105.72126997070563,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",35,0,-241.43050935134562,"{0: 15, 1: 7, 2: 9, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",30,0,-77.80800274902414,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
