trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.9900498337491681}",25,0,-150.51109138077268,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.25, 'e': 0.9801986733067554}",20,0,-137.3201390636553,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.25, 'e': 0.9704455335485082}",20,0,-161.21923079995884,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.25, 'e': 0.9607894391523232}",25,0,-63.73825275819132,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.9512294245007139}",20,0,-113.75953719328294,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.9417645335842487}",30,16,-27.43662595833436,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.25, 'e': 0.9323938199059482}",30,0,-209.8007788317702,"{0: 20, 1: 1, 2: 3, 3: 2, 4: 4}",0
8,False,"{'a': 0.25, 'e': 0.9231163463866358}",25,0,-165.53018301593283,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.25, 'e': 0.9139311852712282}",20,0,-67.753091242792,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.25, 'e': 0.9048374180359595}",20,0,-29.966651563566476,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.25, 'e': 0.8958341352965282}",20,0,-162.7331940298526,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.25, 'e': 0.8869204367171575}",20,0,-42.82829502404172,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.25, 'e': 0.8780954309205614}",25,0,-54.618947779707796,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.8693582353988057}",20,0,-137.2693116575865,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.8607079764250578}",25,0,-102.8487961166486,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.8521437889662113}",25,0,-187.2416106905822,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.25, 'e': 0.8436648165963837}",25,0,-91.95640651199817,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
18,False,"{'a': 0.25, 'e': 0.835270211411272}",30,0,-72.92853064327511,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.8269591339433623}",30,0,-117.66620234843654,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 1}",0
20,False,"{'a': 0.25, 'e': 0.8187307530779818}",25,0,-41.48658689634764,"{0: 21, 1: 1, 2: 0, 3: 3, 4: 0}",0
21,False,"{'a': 0.25, 'e': 0.8105842459701872}",25,0,-171.6156926321357,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
22,False,"{'a': 0.25, 'e': 0.8025187979624785}",20,0,-10.512651334262326,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.25, 'e': 0.794533602503334}",20,0,-39.78815159044685,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.25, 'e': 0.7866278610665534}",20,0,-34.242155835378504,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.25, 'e': 0.7788007830714049}",25,0,-108.47152061606862,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.25, 'e': 0.7710515858035663}",20,0,-130.5916290966844,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
27,False,"{'a': 0.25, 'e': 0.7633794943368533}",30,0,-6.971546769125537,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.25, 'e': 0.7557837414557255}",25,0,-125.35976137782465,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.25, 'e': 0.7482635675785653}",20,0,-98.66318425209666,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
30,False,"{'a': 0.25, 'e': 0.7408182206817179}",25,0,-55.0841371444273,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
31,False,"{'a': 0.25, 'e': 0.7334469562242892}",20,0,-84.82776590209984,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.25, 'e': 0.7261490370736908}",30,12,-112.8631532973555,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
33,False,"{'a': 0.25, 'e': 0.7189237334319262}",25,0,-131.80898610531986,"{0: 15, 1: 3, 2: 2, 3: 4, 4: 1}",0
34,False,"{'a': 0.25, 'e': 0.7117703227626098}",20,0,-88.76749240827725,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.25, 'e': 0.7046880897187134}",20,0,-83.29497617090975,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
36,False,"{'a': 0.25, 'e': 0.6976763260710311}",25,2,-163.58554506381884,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 3}",1
37,False,"{'a': 0.25, 'e': 0.6907343306373547}",20,0,-34.518923795726664,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.25, 'e': 0.6838614092123559}",30,2,-66.89246227035281,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 0}",1
39,False,"{'a': 0.25, 'e': 0.6770568744981647}",25,0,-53.88173183240326,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.25, 'e': 0.6703200460356393}",30,0,-47.04845767502388,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
41,False,"{'a': 0.25, 'e': 0.6636502501363193}",30,1,-121.81599826868536,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 2}",1
42,False,"{'a': 0.25, 'e': 0.6570468198150569}",25,0,-74.75228646918886,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.25, 'e': 0.6505090947233165}",20,0,-71.43457097701956,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.25, 'e': 0.6440364210831414}",30,0,-53.183263629146445,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 0}",0
45,False,"{'a': 0.25, 'e': 0.6376281516217732}",30,11,18.698854700932458,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.25, 'e': 0.631283645506926}",30,0,-151.8058761619416,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.25, 'e': 0.6250022682827008}",20,0,-81.24894257792731,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
48,False,"{'a': 0.25, 'e': 0.6187833918061408}",20,0,-35.60562348401307,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.25, 'e': 0.6126263941844161}",30,0,-90.433982415902,"{0: 20, 1: 0, 2: 9, 3: 1, 4: 0}",0
50,False,"{'a': 0.25, 'e': 0.6065306597126334}",30,0,-36.97865791168562,"{0: 25, 1: 3, 2: 0, 3: 1, 4: 1}",0
51,False,"{'a': 0.25, 'e': 0.6004955788122659}",20,0,-30.665832710791523,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.25, 'e': 0.5945205479701943}",20,0,-10.40574031774125,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.25, 'e': 0.5886049696783552}",20,0,-48.287835640820134,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.25, 'e': 0.5827482523739896}",20,0,-13.172571781322393,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.25, 'e': 0.5769498103804866}",20,0,-2.290797422418958,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.25, 'e': 0.5712090638488149}",25,14,-4.2455381975869,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.25, 'e': 0.5655254386995371}",20,0,9.890213767044541,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.25, 'e': 0.559898366565402}",20,0,-53.39025297868211,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.25, 'e': 0.554327284734507}",20,0,-138.87636567876345,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
60,False,"{'a': 0.25, 'e': 0.5488116360940265}",30,0,-23.114283645892552,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
61,False,"{'a': 0.25, 'e': 0.5433508690744998}",30,0,-46.11231414865076,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",1
62,False,"{'a': 0.25, 'e': 0.5379444375946745}",25,0,-93.39489170187383,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.25, 'e': 0.5325918010068972}",25,0,-18.93622493629183,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.25, 'e': 0.5272924240430485}",20,0,-33.74090639112632,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.25, 'e': 0.522045776761016}",25,0,-66.18296181731458,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.25, 'e': 0.5168513344916992}",25,0,-41.880862444855865,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.25, 'e': 0.5117085777865424}",20,3,-14.101941081387142,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.25, 'e': 0.5066169923655895}",20,0,-4.00034264429296,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.25, 'e': 0.5015760690660555}",20,0,-33.90593008860022,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
70,False,"{'a': 0.25, 'e': 0.49658530379140947}",20,0,-16.678315194557104,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.25, 'e': 0.4916441974609651}",20,0,-38.38818733222004,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
72,False,"{'a': 0.25, 'e': 0.4867522559599717}",20,9,-45.16892553228289,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.25, 'e': 0.4819089900902025}",20,0,6.735286466135471,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
74,False,"{'a': 0.25, 'e': 0.47711391552103444}",30,7,-3.962073660790221,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
75,False,"{'a': 0.25, 'e': 0.4723665527410147}",30,0,-38.0128431310575,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
76,False,"{'a': 0.25, 'e': 0.4676664270099093}",20,0,-37.17356055976975,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.25, 'e': 0.463013068311228}",30,0,38.109424122483695,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
