trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-165.85232883050642,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-159.94214632348846,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-95.65111946480901,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-87.88164469687935,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-96.9752440648021,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-104.73125084501297,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-151.8817087876829,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-84.38321277827524,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-101.21584586485712,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-175.74620055771328,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-96.53540074185474,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-56.18786187393036,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-220.42276268661413,"{0: 22, 1: 1, 2: 8, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-123.49330414349588,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-149.94213019902253,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-72.64738325813715,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-199.2820290276603,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-122.80879937935319,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-87.93757069252095,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-85.2183734448479,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,15,-31.873227270873944,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,-90.4913984710201,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,-146.22059536282575,"{0: 15, 1: 2, 2: 3, 3: 4, 4: 1}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,10,-13.949224449861523,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",30,0,-191.07057980321352,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-119.63430733794138,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-65.96492487237686,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-120.27610145699873,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",30,0,-227.57373858024067,"{0: 16, 1: 4, 2: 4, 3: 3, 4: 3}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,0,-133.79185813938653,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
